Release Year,Technobasin,Case,rate,Year,kg CO2 eq / MJ
2023,Green River,LRC,avg,2034,0.0592080237342867
2023,Gulf,LRC,avg,2034,0.0611711989884932
2023,Permian,LRC,avg,2034,0.0614098256428958
2023,Piceance,LRC,avg,2034,0.0622808738775203
2023,San Juan,LRC,avg,2034,0.0683782008860472
2023,South Oklahoma,LRC,avg,2034,0.0621574190915091
2023,Strawn,LRC,avg,2034,0.0626954521096671
2023,US,LRC,avg,2034,0.0598526053570536
2023,Uinta,LRC,avg,2034,0.0623494556803703
2023,Anadarko,REF,avg,2034,0.0640808490018128
2023,Appalachian,REF,avg,2034,0.0573607759112268
2023,Arkla,REF,avg,2034,0.0577803727915189
2023,Arkoma,REF,avg,2034,0.0654988089246495
2023,East Texas,REF,avg,2034,0.0624986019058357
2023,Fort Worth,REF,avg,2034,0.0630320173786894
2023,Green River,REF,avg,2034,0.0592071089848484
2023,Gulf,REF,avg,2034,0.061172215517503
2023,Permian,REF,avg,2034,0.0614107891537761
2023,Piceance,REF,avg,2034,0.0622808738775203
2023,San Juan,REF,avg,2034,0.0683746423546956
2023,South Oklahoma,REF,avg,2034,0.0621574190915091
2023,Strawn,REF,avg,2034,0.0626954521096671
2023,US,REF,avg,2034,0.0598443599395846
2023,Uinta,REF,avg,2034,0.0623512142248246
2023,Anadarko,LRC,avg,2035,0.0641280850501445
2023,Appalachian,LRC,avg,2035,0.0573607759112268
2023,Arkla,LRC,avg,2035,0.057777836895083
2023,Arkoma,LRC,avg,2035,0.0654906046133362
2023,East Texas,LRC,avg,2035,0.0624932707153013
2023,Fort Worth,LRC,avg,2035,0.0630320173786894
2023,Green River,LRC,avg,2035,0.0592111600180753
2023,Gulf,LRC,avg,2035,0.0611705401188882
2023,Permian,LRC,avg,2035,0.0614114636113924
2023,Piceance,LRC,avg,2035,0.0622808738775203
2023,San Juan,LRC,avg,2035,0.06837701470893
2023,South Oklahoma,LRC,avg,2035,0.0621574190915091
2023,Strawn,LRC,avg,2035,0.0626954521096671
2023,US,LRC,avg,2035,0.0598496102613297
2023,Uinta,LRC,avg,2035,0.0623389044136442
2023,Anadarko,REF,avg,2035,0.0641410150022591
2023,Appalachian,REF,avg,2035,0.0573607759112268
2023,Arkla,REF,avg,2035,0.0577769852259039
2023,Arkoma,REF,avg,2035,0.0654856820265483
2023,East Texas,REF,avg,2035,0.0624925853206667
2023,Fort Worth,REF,avg,2035,0.0630320173786894
2023,Green River,REF,avg,2035,0.0592125974814783
2023,Gulf,REF,avg,2035,0.0611699503603668
2023,Permian,REF,avg,2035,0.0614118490157445
2023,Piceance,REF,avg,2035,0.0622808738775203
2023,San Juan,REF,avg,2035,0.0683675252919923
2023,South Oklahoma,REF,avg,2035,0.0621574190915091
2023,Strawn,REF,avg,2035,0.0626954521096671
2023,US,REF,avg,2035,0.0598541105946015
2023,Uinta,REF,avg,2035,0.0623336287802812
2023,Anadarko,LRC,avg,2036,0.0641718329129518
2023,Appalachian,LRC,avg,2036,0.0573607759112268
2023,Arkla,LRC,avg,2036,0.0577729716520878
2023,Arkoma,LRC,avg,2036,0.0654766572841037
2023,East Texas,LRC,avg,2036,0.0624872939261132
2023,Fort Worth,LRC,avg,2036,0.0630320173786894
2023,Green River,LRC,avg,2036,0.0592154724082845
2023,Gulf,LRC,avg,2036,0.0611688336202857
2023,Permian,LRC,avg,2036,0.0614126198244488
2023,Piceance,LRC,avg,2036,0.0622808738775203
2023,San Juan,LRC,avg,2036,0.0683758285318128
2023,South Oklahoma,LRC,avg,2036,0.0621574190915091
2023,Strawn,LRC,avg,2036,0.0626954521096671
2023,US,LRC,avg,2036,0.0598536391407297
2023,Uinta,LRC,avg,2036,0.0623248360580094
2023,Anadarko,REF,avg,2036,0.0641644906763746
2023,Appalachian,REF,avg,2036,0.0573607759112268
2023,Arkla,REF,avg,2036,0.0577703316523553
2023,Arkoma,REF,avg,2036,0.0654692734039217
2023,East Texas,REF,avg,2036,0.0624854387753334
